Canonical	Mappable	Mapped	Names	Description	Link
	0	0	Eä		http://www.glyphweb.com/arda/e/ea.html
	0	0	Nan-tathren		http://www.glyphweb.com/arda/n/nantathren.html
	0	0	Doriath		http://www.glyphweb.com/arda/d/doriath.html
	0	0	Nevrast		http://www.glyphweb.com/arda/n/nevrast.html
	0	0	Himlad		http://www.glyphweb.com/arda/h/himlad.html
	0	0	East Beleriand		http://www.glyphweb.com/arda/e/eastbeleriand.html
	0	0	Eastlands of Númenor		http://www.glyphweb.com/arda/e/eastlandsnumenor.html
	0	0	Elvenland		http://www.glyphweb.com/arda/e/elvenland.html
	0	0	Cuiviénen		http://www.glyphweb.com/arda/c/cuivienen.html
	0	0	Elendë		http://www.glyphweb.com/arda/e/elende.html
	0	0	Downfallen		http://www.glyphweb.com/arda/d/downfallen.html
	0	0	North (of Beleriand)		http://www.glyphweb.com/arda/n/northbeleriand.html
	0	0	Northlands (Middle-earth)		http://www.glyphweb.com/arda/n/northlands.html
	0	0	Araman		http://www.glyphweb.com/arda/a/araman.html
	0	0	Elvenhome		http://www.glyphweb.com/arda/e/elvenhome.html
	0	0	Grave of the Children of Húrin		http://www.glyphweb.com/arda/g/graveofthechildrenofhurin.html
	0	0	Avathar		http://www.glyphweb.com/arda/a/avathar.html
	0	0	Maglor's Gap		http://www.glyphweb.com/arda/m/maglorsgap.html
	0	0	Estolad		http://www.glyphweb.com/arda/e/estolad.html
	0	0	Arandor		http://www.glyphweb.com/arda/a/arandor.html
	0	0	Ladros		http://www.glyphweb.com/arda/l/ladros.html
	0	0	Lisgardh		http://www.glyphweb.com/arda/l/lisgardh.html
	0	0	Ilmarin		http://www.glyphweb.com/arda/i/ilmarin.html
	0	0	Realms in Exile		http://www.glyphweb.com/arda/r/realmsinexile.html
	0	0	Hísilómë		http://www.glyphweb.com/arda/h/hisilome.html
	0	0	Deldúwath		http://www.glyphweb.com/arda/d/delduwath.html
	0	0	Tasarinan		http://www.glyphweb.com/arda/t/tasarinan.html
	0	0	Dor Firn-i-Guinar		http://www.glyphweb.com/arda/d/dorfirniguinar.html
	0	0	Hyarastorni		http://www.glyphweb.com/arda/h/hyarastorni.html
	0	0	Dor Dínen		http://www.glyphweb.com/arda/d/dordinen.html
	0	0	Land of Willows		http://www.glyphweb.com/arda/l/landofwillows.html
	0	0	Dor Caranthir		http://www.glyphweb.com/arda/d/dorcaranthir.html
	0	0	Hildórien		http://www.glyphweb.com/arda/h/hildorien.html
	0	0	Havens of Sirion		http://www.glyphweb.com/arda/h/havensofsirion.html
	0	0	Losgar		http://www.glyphweb.com/arda/l/losgar.html
	0	0	Emerië		http://www.glyphweb.com/arda/e/emerie.html
	0	0	Arvernien		http://www.glyphweb.com/arda/a/arvernien.html
	0	0	Dimbar		http://www.glyphweb.com/arda/d/dimbar.html
	0	0	Hyarrostar		http://www.glyphweb.com/arda/h/hyarrostar.html
	0	0	Undying Realm		http://www.glyphweb.com/arda/u/undyingrealm.html
	0	0	Nísimaldar		http://www.glyphweb.com/arda/n/nisimaldar.html
	0	0	The Falas		http://www.glyphweb.com/arda/f/falas.html
	0	0	Lammoth		http://www.glyphweb.com/arda/l/lammoth.html
	0	0	Mithrim		http://www.glyphweb.com/arda/m/mithrim.html
	0	0	Ephel		http://www.glyphweb.com/arda/e/ephel.html
	0	0	Eglador		http://www.glyphweb.com/arda/e/eglador.html
	0	0	Thargelion		http://www.glyphweb.com/arda/t/thargelion.html
	0	0	Outer Lands		http://www.glyphweb.com/arda/o/outerlands.html
	0	0	Land of Bow and Helm		http://www.glyphweb.com/arda/l/landofbowandhelm.html
	0	0	March of Maedhros		http://www.glyphweb.com/arda/m/marchofmaedhros.html
	0	0	Nan-tasarion		http://www.glyphweb.com/arda/n/nantasarion.html
	0	0	West over Sea		http://www.glyphweb.com/arda/w/westoversea.html
	0	0	Dor-Cúarthol		http://www.glyphweb.com/arda/d/dorcuarthol.html
	0	0	Mittalmar		http://www.glyphweb.com/arda/m/mittalmar.html
	0	0	"Westlands, Númenor"		http://www.glyphweb.com/arda/w/westlandsnumenor.html
	0	0	West Beleriand		http://www.glyphweb.com/arda/w/westbeleriand.html
	0	0	Valinor		http://www.glyphweb.com/arda/v/valinor.html
	0	0	Land of the Dead that Live		http://www.glyphweb.com/arda/l/landofthedeadthatlive.html
	0	0	Elvendom		http://www.glyphweb.com/arda/e/elvendom.html
	0	0	Arthórien		http://www.glyphweb.com/arda/a/arthorien.html
	0	0	Uttermost West		http://www.glyphweb.com/arda/u/uttermostwest.html
	0	0	Elfinesse		http://www.glyphweb.com/arda/e/elfinesse.html
	0	0	Hidden Realm		http://www.glyphweb.com/arda/h/hiddenrealm.html
	0	0	Forostar		http://www.glyphweb.com/arda/f/forostar.html
	0	0	Hyarnustar		http://www.glyphweb.com/arda/h/hyarnustar.html
	0	0	Hidden Kingdom		http://www.glyphweb.com/arda/h/hiddenkingdom.html
	0	0	Evereven		http://www.glyphweb.com/arda/e/evereven.html
	0	0	Oiomúrë		http://www.glyphweb.com/arda/o/oiomure.html
